Country,Number of infections in 2023,Week number
Slovenia,399,19
Slovenia,360,20
Slovenia,405,21
Slovenia,372,22
Slovenia,356,23
Slovenia,371,24
Slovenia,406,25
Slovenia,382,26
Slovenia,363,27
Slovenia,424,28
Slovenia,353,29
Slovenia,365,30
Slovenia,358,31
Slovenia,368,32
Slovenia,374,33
Slovenia,387,34
Slovenia,336,35
Slovenia,342,36
Slovenia,353,37
Slovenia,396,38
Slovenia,364,39
Slovenia,385,40
Slovenia,396,41
Slovenia,430,42
Slovenia,425,43
Slovenia,417,44
Spain,9986,1
Spain,10072,2
Spain,9913,3
Spain,9724,4
Spain,10178,5
Spain,10187,6
Spain,9825,7
Spain,9648,8
Spain,9597,9
Spain,9680,10
Spain,8925,11
Spain,8383,12
Spain,8311,13
Spain,8095,14
Spain,8185,15
Spain,8024,16
Spain,8118,17
Spain,7595,18
Spain,7537,19
Spain,7560,20
Spain,7758,21
Spain,7553,22
Spain,7646,23
Spain,7586,24
Spain,7439,25
Spain,7715,26
Spain,7419,27
Spain,7677,28
Spain,7830,29
Spain,7487,30
Spain,7630,31
Spain,7714,32
Spain,7807,33
Spain,8623,34
Spain,7831,35
Spain,7601,36
Spain,7313,37
Spain,7362,38
Spain,7474,39
Spain,7789,40
Spain,7499,41
Spain,7465,42
Spain,7533,43
Spain,7464,44
Sweden,2372,1
Sweden,2134,2
Sweden,1997,3
Sweden,1842,4
Sweden,1803,5
Sweden,1758,6
Sweden,1733,7
Sweden,1735,8
Sweden,1795,9
Sweden,1813,10
Sweden,1760,11
Sweden,1705,12
Sweden,1723,13
Sweden,1710,14
Sweden,1748,15
Sweden,1779,16
Sweden,1744,17
Sweden,1643,18
Sweden,1569,19
Sweden,1623,20
Sweden,1522,21
Sweden,1556,22
Sweden,1599,23
Sweden,1557,24
Sweden,1571,25
Sweden,1492,26
Sweden,1520,27
Sweden,1479,28
Sweden,1482,29
Sweden,1550,30
Sweden,1495,31
Sweden,1523,32
Sweden,1537,33
Sweden,1543,34
Sweden,1477,35
Sweden,1689,36
Sweden,1536,37
Sweden,1606,38
Sweden,1557,39
Sweden,1604,40
Sweden,1792,41
Sweden,1742,42
Sweden,1802,43
Sweden,1921,44
Switzerland,1669,1
Switzerland,1536,2
Switzerland,1512,3
Switzerland,1457,4
Switzerland,1371,5
Switzerland,1384,6
Switzerland,1418,7
Switzerland,1373,8
Switzerland,1421,9
Switzerland,1476,10
Switzerland,1442,11
Switzerland,1418,12
Switzerland,1334,13
Switzerland,1326,14
Switzerland,1324,15
Switzerland,1304,16
Switzerland,1377,17
Switzerland,1330,18
Switzerland,1240,19
Switzerland,1216,20
Switzerland,1235,21
Switzerland,1210,22
Switzerland,1223,23
Switzerland,1187,24
Switzerland,1201,25
Switzerland,1207,26
Switzerland,1169,27
Switzerland,1239,28
Switzerland,1247,29
Switzerland,1207,30
Switzerland,1232,31
Switzerland,1243,32
Switzerland,1352,33
Switzerland,1373,34
Switzerland,1239,35
Switzerland,1343,36
Switzerland,1250,37
Switzerland,1197,38
Switzerland,1230,39
Switzerland,1269,40
Switzerland,1280,41
Switzerland,1361,42
Switzerland,1384,43
Switzerland,1351,44
United Kingdom,16993,1
United Kingdom,19948,2
United Kingdom,17946,3
United Kingdom,15970,4
United Kingdom,15131,5
United Kingdom,14339,6
United Kingdom,13722,7
United Kingdom,13608,8
United Kingdom,13613,9
United Kingdom,13048,10
United Kingdom,13683,11
United Kingdom,13794,12
United Kingdom,13153,13
United Kingdom,11554,14
United Kingdom,11490,15
United Kingdom,14028,16
United Kingdom,13696,17
United Kingdom,11607,18
United Kingdom,11806,19
United Kingdom,13190,20
United Kingdom,12532,21
United Kingdom,10160,22
United Kingdom,12384,23
United Kingdom,12203,24
United Kingdom,11898,25
United Kingdom,11765,26
United Kingdom,11147,27
United Kingdom,11343,28
United Kingdom,11024,29
United Kingdom,11117,30
United Kingdom,11439,31
United Kingdom,11396,32
United Kingdom,11469,33
United Kingdom,11526,34
United Kingdom,9729,35
United Kingdom,11590,36
United Kingdom,11691,37
United Kingdom,11842,38
United Kingdom,11401,39
United Kingdom,11545,40
United Kingdom,11997,41
United Kingdom,11888,42
United Kingdom,11919,43
United Kingdom,12512,44
United States,69134,1
United States,66490,2
United States,64321,3
United States,62537,4
United States,62865,5
United States,62949,6
United States,61861,7
United States,62131,8
United States,61419,9
United States,60801,10
United States,61132,11
United States,60800,12
United States,60195,13
United States,59039,14
United States,59651,15
United States,58433,16
United States,57761,17
United States,58007,18
United States,57796,19
United States,56617,20
United States,55684,21
United States,56744,22
United States,56192,23
United States,56145,24
United States,55616,25
United States,55477,26
United States,55651,27
United States,55170,28
United States,55151,29
United States,54992,30
United States,55102,31
United States,55306,32
United States,54466,33
United States,52892,34
United States,50814,35
United States,47232,36
United States,37874,37
United States,..,38
United States,..,39
United States,..,40
United States,..,41
United States,..,42
United States,..,43
United States,..,44
